Date,age group,Severe cases vaccinated,Severe cases expired Vaccination  ,Severe cases Not vaccinated,Severe cases vaccinated per 100k,Severe cases expired Vaccination  per 100k,Severe cases Not vaccinated per 100k,New Severe cases vaccinated,New severe cases expired Vaccination,New severe cases Not vaccinated,New severe cases vaccinated per 100k,New severe cases expired Vaccination  per 100k,New severe cases Not vaccinated per 100k
13-09-2021,All population,118,99,437,2.5,10.7,13.3,11,13,51,0.2,1.4,1.6
14-09-2021,60+,81,66,232,6.3,56.1,161.1,11,6,29,0.9,5.1,20.1
14-09-2021,All population,112,94,438,2.4,10,13.3,12,10,55,0.3,1.1,1.7
14-09-2021,0-59,31,28,205,0.9,3.4,6.5,1,4,26,0,0.5,0.8
15-09-2021,0-59,30,25,214,0.9,2.9,6.8,2,2,28,0.1,0.2,0.9
15-09-2021,All population,108,90,435,2.3,9.3,13.3,14,12,51,0.3,1.2,1.6
15-09-2021,60+,78,65,220,6.1,54.3,153.1,12,10,23,0.9,8.4,16
16-09-2021,60+,72,66,222,5.6,53.7,154.6,3,7,31,0.2,5.7,21.6
16-09-2021,All population,97,94,425,2.1,9.2,13,4,11,47,0.1,1.1,1.4
16-09-2021,0-59,25,28,202,0.7,3.1,6.4,1,4,16,0,0.4,0.5
17-09-2021,0-59,25,30,217,0.7,3.3,6.9,1,5,29,0,0.6,0.9
17-09-2021,All population,105,97,450,2.3,9.4,13.7,10,10,52,0.2,1,1.6
17-09-2021,60+,80,67,232,6.3,54.5,162,9,5,23,0.7,4.1,16.1
18-09-2021,60+,77,72,256,6,57.8,179,9,10,45,0.7,8,31.5
18-09-2021,All population,106,98,481,2.3,9.2,14.7,13,13,81,0.3,1.2,2.5
18-09-2021,0-59,29,26,224,0.9,2.8,7.2,4,3,36,0.1,0.3,1.1
19-09-2021,0-59,24,28,231,0.7,3,7.4,0,4,30,0,0.4,1
19-09-2021,60+,84,69,264,6.6,56.3,185.2,12,4,34,0.9,3.3,23.9
19-09-2021,All population,108,97,496,2.3,9.2,15.2,12,8,64,0.3,0.8,2
20-09-2021,60+,84,73,250,6.6,59.8,175.9,9,10,30,0.7,8.2,21.1
20-09-2021,All population,107,97,478,2.3,9.1,14.6,12,12,59,0.3,1.1,1.8
20-09-2021,0-59,23,24,227,0.7,2.5,7.3,3,2,29,0.1,0.2,0.9
21-09-2021,All population,102,97,483,2.2,8.7,14.8,9,15,63,0.2,1.3,1.9
21-09-2021,60+,81,74,242,6.3,59.1,170.6,8,9,23,0.6,7.2,16.2
21-09-2021,0-59,21,23,240,0.6,2.3,7.7,1,6,40,0,0.6,1.3
22-09-2021,All population,105,103,509,2.3,9,15.6,9,15,63,0.2,1.3,1.9
22-09-2021,60+,84,80,264,6.6,63.1,186.6,7,11,35,0.5,8.7,24.7
22-09-2021,0-59,21,23,244,0.6,2.3,7.8,2,4,28,0.1,0.4,0.9
23-09-2021,All population,104,100,507,2.3,8.5,15.6,17,9,58,0.4,0.8,1.8
